,Id,Latitude,Longitude,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female ,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%) ,Population Average annual growth 2010/2015 (%) ,Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older) ,Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
74,75,41.1533,20.1683,Albania,75,0.764,78,9.6,10252,24,4,0.41,1.1,0.7,0.74,0.959,2,0.747,0.778,80.6,75.6,9.5,9.8,7365,13186,20.7,90.2,90.5,40.3,2.900000095,3,-0.3,0,57.4,0.2,2,0.4,34.3,26.9,18,1.9,1.8,38.6,1,2,23.1,12.5,14,50,85,,0.6,,21.2,11.5,2.9,41.6,50.3,,,17.3,32.7,30.5,58.1,5,2,365,77,63.3,24.5,0.661,13.5,4,13.4,9.9,0.804,11.9,0.63,18.3,0.571,4.3,1,29
31,32,42.5063,1.5218,Andorra,32,0.858,81.5,10.3,47979,-18,9,,,0.95,,,,,,,,10.2,10.3,,,39.3,72,73.7,,0.100000002,0.100000002,4.3,-3.6,85.1,,,,,,,,,,1,4,,2.1,2.8,,,,0.8,,,40,6.3,,,,,,,,,,,,,96.9,4.800000191,,,,,,,,,,,,,
83,84,40.0691,45.0382,Armenia,84,0.743,74.9,11.3,8189,28,1,0.16,1.24,0.39,0.64,0.993,1,0.736,0.741,78.7,71.1,11.3,11.3,5535,11258,10.7,98.5,98.1,54.9,3,3,-0.4,0.4,62.7,0.2,2.099999905,0.3,34.6,26,15.3,1.7,1.6,34.6,3,3,20.8,12.6,14.1,70,170,,4.7,0.2,19.6,27,1.9,53,63.3,36.3,46.7,16.3,37.2,40.9,42.4,4,13.6,140,80,58.2,-11.69999981,0.674,9.3,15,9.2,10.1,0.759,3.7,0.703,13.9,0.573,4.7,1.2,31.5
23,24,47.5162,14.5501,Austria,24,0.893,81.6,11.3,43609,-4,-1,0.53,0.5,0.31,0.47,0.957,2,0.87,0.909,84,79.1,10.8,11.8,29829,57888,30.3,98.7,99.2,54.7,8.5,8.800000191,0.5,0.4,66,0.4,5.699999809,1.6,43.2,21.2,28,1.4,1.5,,7,24,,2.9,3.5,46,86,,0.7,,23.8,48.3,8.7,56.8,60.2,4.3,69.7,5.7,10.2,7.7,8.6,,,112,100,83.9,8,0.815,8.7,3,8.5,3.7,0.912,4.3,0.785,17.5,0.757,4.9,1.1,30.5
77,78,40.143105,47.576927,Azerbaijan,78,0.759,70.9,11.2,16413,-12,-2,,1.43,0.48,,0.94,3,0.732,0.779,74.1,67.8,10.3,12,11029,21845,16.9,93.9,97.5,61.9,9.800000191,10.69999981,1.1,1.4,54.6,0.9,7.099999905,0.5,30.9,30.3,7.8,2,2.3,12.1,4,2,18,27.9,31.7,86,178,0.1,0.4,0.2,18.3,34,1.2,61.9,65,36.8,48.9,4.7,14.3,,56.4,7,1.7,126,81.7,77,11.19999981,0.659,13.2,5,13,21.7,0.613,8.3,0.663,8.9,0.702,4.8,1.2,31.8
51,52,53.709807,27.953389,Belarus,52,0.796,71.5,12,15629,19,1,,1.45,0.23,,1.021,1,0.803,0.786,77.3,65.7,11.9,12.1,12327,19433,29.2,87,92.2,54.5,9.5,9,-0.6,0,76.7,0.6,6.599999905,1.3,39.6,23,20,1.3,1.6,19,3,1,4.5,3.4,4.6,90,261,,7.7,0.6,18.1,39.3,3.7,57,60.8,9.6,57.2,6.1,12.9,,2.1,1,3.1,126,93.6,62.2,13.60000038,0.745,6.4,6,6.4,5.8,0.746,3.7,0.804,9.7,0.689,3.9,1,27.2
21,22,50.503887,4.469936,Belgium,22,0.896,81,11.4,41243,1,-4,0.81,0.12,0.27,0.42,0.978,1,0.881,0.901,83.4,78.5,11.2,11.6,32416,50358,42.4,80.1,84.7,48.2,11.30000019,12,0.6,0.7,97.9,0.7,7.300000191,2.1,41.5,26.1,28.1,1.7,1.8,,1,4,,3.3,4.1,,,,0.3,,23.7,48.9,8.2,48.9,53.6,1.1,77.4,8.7,21.8,12.1,10.5,,,105,84.6,85.1,4.099999905,0.821,8.3,2,8.3,4,0.901,8.1,0.773,12.7,0.794,4.2,1,27.6
80,81,43.915886,17.679076,Bosnia and Herzegovina,81,0.75,76.6,9,10091,22,14,,,1.07,,0.923,4,0.721,0.781,79.2,74.1,7.8,10.6,6950,13261,19.3,69.5,87.5,34.4,3.799999952,3.599999905,0.2,-0.1,39.8,0.2,2.700000048,0.6,41.5,19,21.7,1.2,1.3,18.5,8,11,8.9,5.1,5.4,66,130,,3.8,,20.2,19.3,6.8,32.2,46.1,,,30.3,66.9,,25.3,5,1.5,365,29.6,65.1,11.5,0.65,13.3,6,13.1,6.7,0.813,12.5,0.607,20.2,0.556,5.7,1.3,33.8
55,56,42.733883,25.48583,Bulgaria,56,0.794,74.3,10.8,16261,13,3,0.19,0.83,0.49,0.5,0.984,1,0.789,0.801,77.8,70.9,10.8,11.2,12979,19736,20.4,93.1,95.5,48.6,7.099999905,6.300000191,-0.8,-0.7,73.9,0.3,4.699999809,1.4,43.5,21.5,30.4,1.2,1.5,,10,7,8.8,9.3,10.4,,,,2.1,,19.2,38.7,4.6,48.9,54.2,6.9,62.8,9.8,22.2,20.2,8.7,,,410,96.9,56.7,-6.400000095,0.709,10.7,2,10.5,7.8,0.771,5.5,0.735,18.2,0.629,6.9,1.5,36
45,46,45.1,15.2,Croatia,45,0.827,77.5,11.2,20291,14,1,1.13,0.77,0.47,0.85,0.997,1,0.827,0.83,80.8,74.2,11.2,11.6,16932,23897,15.2,92,96,46.4,4.199999809,4,-0.2,-0.4,59,0.2,2.799999952,0.8,42.8,22.5,28.6,1.4,1.5,23.3,2,6,,3.6,4.3,57,134,,1.1,,20.6,30,6.4,43.9,52.3,8.7,63.9,16.1,43.8,19.3,10.4,,,208,57.6,69.8,-8.699999809,0.752,9.1,2,8.9,4.5,0.845,4.4,0.763,17.7,0.66,5.7,1.2,32.5
